# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,6.000,6.000
0.500000,0.000000,6.000,6.000
1.000000,0.000000,6.000,6.000
1.500000,0.000000,6.000,6.000
2.000000,0.000000,6.000,6.000
2.500000,0.000000,6.000,6.000
3.000000,0.000000,6.000,6.000
3.500000,0.000000,6.000,6.000
4.000000,0.000000,6.000,6.000
4.500000,0.000000,6.000,6.000
5.000000,0.000000,6.000,6.000
5.500000,0.000000,6.000,6.000
6.000000,0.000000,6.000,6.000
6.500000,0.000000,6.000,6.000
7.000000,0.000000,6.000,6.000
7.500000,0.000000,6.000,6.000
8.000000,0.000000,6.000,6.000
8.500000,0.000000,6.000,6.000
9.000000,0.000000,6.000,6.000
9.500000,0.000000,6.000,6.000
10.000000,0.000000,6.000,6.000
10.500000,0.000000,6.000,6.000
11.000000,0.000000,6.000,6.000
11.500000,0.000000,6.000,6.000
12.000000,0.000000,6.000,6.000
12.500000,0.000000,6.000,6.000
13.000000,0.000000,6.000,6.000
13.500000,0.000000,6.000,6.000
14.000000,0.000000,6.000,6.000
14.500000,0.000000,6.000,6.000
15.000000,0.000000,6.000,6.000
15.500000,0.000000,6.000,6.000
16.000000,0.000000,6.000,6.000
16.500000,0.000000,6.000,6.000
17.000000,0.000000,6.000,6.000
17.500000,0.000000,6.000,6.000
18.000000,0.000000,6.000,6.000
18.500000,0.000000,6.000,6.000
19.000000,0.000000,6.000,6.000
19.500000,0.000000,6.000,6.000
20.000000,0.000000,6.000,6.000
20.500000,0.000000,6.000,6.000
21.000000,0.000000,6.000,6.000
21.500000,0.000000,6.000,6.000
22.000000,0.000000,6.000,6.000
22.500000,0.000000,6.000,6.000
23.000000,0.000000,6.000,6.000
23.500000,0.000000,6.000,6.000
24.000000,0.000000,6.000,6.000
24.500000,0.000000,6.000,6.000
25.000000,0.000000,6.000,6.000
25.500000,0.000000,6.000,6.000
26.000000,0.000000,6.000,6.000
26.500000,0.000000,6.000,6.000
27.000000,0.000000,6.000,6.000
27.500000,0.000000,6.000,6.000
28.000000,0.000000,6.000,6.000
28.500000,0.000000,6.000,6.000
29.000000,0.000000,6.000,6.000
29.500000,0.000000,6.000,6.000
30.000000,0.000000,6.000,6.000
30.500000,0.000000,6.000,6.000
31.000000,0.000000,6.000,6.000
31.500000,0.000000,6.000,6.000
32.000000,0.000000,6.000,6.000
32.500000,0.000000,6.000,6.000
33.000000,0.000000,6.000,6.000
33.500000,0.000000,6.000,6.000
34.000000,0.000000,6.000,6.000
34.500000,0.000000,6.000,6.000
35.000000,0.000000,6.000,6.000
35.500000,0.000000,6.000,6.000
36.000000,0.000000,6.000,6.000
36.500000,0.000000,6.000,6.000
37.000000,0.000000,6.000,6.000
37.500000,0.000000,6.000,6.000
38.000000,0.000000,6.000,6.000
38.500000,0.000000,6.000,6.000
39.000000,0.000000,6.000,6.000
39.500000,0.000000,6.000,6.000
40.000000,0.000000,6.000,6.000
40.500000,0.000000,6.000,6.000
41.000000,0.000000,6.000,6.000
41.500000,0.000000,6.000,6.000
42.000000,0.000000,6.000,6.000
42.500000,0.000000,6.000,6.000
43.000000,0.000000,6.000,6.000
43.500000,0.000000,6.000,6.000
44.000000,0.000000,6.000,6.000
44.500000,0.000000,6.000,6.000
45.000000,0.000000,6.000,6.000
45.500000,0.000000,6.000,6.000
46.000000,0.000000,6.000,6.000
46.500000,0.000000,6.000,6.000
47.000000,0.000000,6.000,6.000
47.500000,0.000000,6.000,6.000
48.000000,0.000000,6.000,6.000
48.500000,0.000000,6.000,6.000
49.000000,0.000000,6.000,6.000
49.500000,0.000000,6.000,6.000
50.000000,0.000000,6.000,6.000
50.500000,0.000000,6.000,6.000
51.000000,0.000000,6.000,6.000
51.500000,0.000000,6.000,6.000
52.000000,0.000000,6.000,6.000
52.500000,0.000000,6.000,6.000
53.000000,0.000000,6.000,6.000
53.500000,0.000000,6.000,6.000
54.000000,0.000000,6.000,6.000
54.500000,0.000000,6.000,6.000
55.000000,0.000000,6.000,6.000
55.500000,0.000000,6.000,6.000
56.000000,0.000000,6.000,6.000
56.500000,0.000000,6.000,6.000
57.000000,0.000000,6.000,6.000
57.500000,0.000000,6.000,6.000
58.000000,0.000000,6.000,6.000
58.500000,0.000000,6.000,6.000
59.000000,0.000000,6.000,6.000
59.500000,0.000000,6.000,6.000
60.000000,0.000000,6.000,6.000
60.500000,0.000000,6.000,6.000
61.000000,0.000000,6.000,6.000
61.500000,0.000000,6.000,6.000
62.000000,0.000000,6.000,6.000
62.500000,0.000000,6.000,6.000
63.000000,0.000000,6.000,6.000
63.500000,0.000000,6.000,6.000
64.000000,0.000000,6.000,6.000
64.500000,0.000000,6.000,6.000
65.000000,0.000000,6.000,6.000
65.500000,0.000000,6.000,6.000
66.000000,0.000000,6.000,6.000
66.500000,0.000000,6.000,6.000
67.000000,0.000000,6.000,6.000
67.500000,0.000000,6.000,6.000
68.000000,0.000000,6.000,6.000
68.500000,0.000000,6.000,6.000
69.000000,0.000000,6.000,6.000
69.500000,0.000000,6.000,6.000
70.000000,0.000000,6.000,6.000
70.500000,0.000000,6.000,6.000
71.000000,0.000000,6.000,6.000
71.500000,0.000000,6.000,6.000
72.000000,0.000000,6.000,6.000
72.500000,0.000000,6.000,6.000
73.000000,0.000000,6.000,6.000
73.500000,0.000000,6.000,6.000
74.000000,0.000000,6.000,6.000
74.500000,0.000000,6.000,6.000
75.000000,0.000000,6.000,6.000
75.500000,0.000000,6.000,6.000
76.000000,0.000000,6.000,6.000
76.500000,0.000000,6.000,6.000
77.000000,0.000000,6.000,6.000
77.500000,0.000000,6.000,6.000
78.000000,0.000000,6.000,6.000
78.500000,0.000000,6.000,6.000
79.000000,0.000000,6.000,6.000
79.500000,0.000000,6.000,6.000
80.000000,0.000000,6.000,6.000
80.500000,0.000000,6.000,6.000
81.000000,0.000000,6.000,6.000
81.500000,0.000000,6.000,6.000
82.000000,0.000000,6.000,6.000
82.500000,0.000000,6.000,6.000
83.000000,0.000000,6.000,6.000
83.500000,0.000000,6.000,6.000
84.000000,0.000000,6.000,6.000
84.500000,0.000000,6.000,6.000
85.000000,0.000000,6.000,6.000
85.500000,0.000000,6.000,6.000
86.000000,0.000000,6.000,6.000
86.500000,0.000000,6.000,6.000
87.000000,0.000000,6.000,6.000
87.500000,0.000000,6.000,6.000
88.000000,0.000000,6.000,6.000
88.500000,0.000000,6.000,6.000
89.000000,0.000000,6.000,6.000
89.500000,0.000000,6.000,6.000
90.000000,0.000000,6.000,6.000
90.500000,0.000000,6.000,6.000
91.000000,0.000000,6.000,6.000
91.500000,0.000000,6.000,6.000
92.000000,0.000000,6.000,6.000
92.500000,0.000000,6.000,6.000
93.000000,0.000000,6.000,6.000
93.500000,0.000000,6.000,6.000
94.000000,0.000000,6.000,6.000
94.500000,0.000000,6.000,6.000
95.000000,0.000000,6.000,6.000
95.500000,0.000000,6.000,6.000
96.000000,0.000000,6.000,6.000
96.500000,0.000000,6.000,6.000
97.000000,0.000000,6.000,6.000
97.500000,0.000000,6.000,6.000
98.000000,0.000000,6.000,6.000
98.500000,0.000000,6.000,6.000
99.000000,0.000000,6.000,6.000
99.500000,0.000000,6.000,6.000
100.000000,0.000000,6.000,6.000
100.500639,0.003133,6.000,6.000
101.001200,0.012532,6.000,6.000
101.501604,0.028195,6.000,6.000
102.001772,0.050120,6.000,6.000
102.501627,0.078303,6.000,6.000
103.001091,0.112741,6.000,6.000
103.500084,0.153427,6.000,6.000
103.998528,0.200355,6.000,6.000
104.496347,0.253518,6.000,6.000
104.993461,0.312907,6.000,6.000
105.489792,0.378514,6.000,6.000
105.985264,0.450327,6.000,6.000
106.479798,0.528337,6.000,6.000
106.973317,0.612529,6.000,6.000
107.465743,0.702892,6.000,6.000
107.957000,0.799411,6.000,6.000
108.447011,0.902072,6.000,6.000
108.935698,1.010857,6.000,6.000
109.422985,1.125750,6.000,6.000
109.908797,1.246732,6.000,6.000
110.393056,1.373786,6.000,6.000
110.875686,1.506891,6.000,6.000
111.356613,1.646026,6.000,6.000
111.835761,1.791169,6.000,6.000
112.313055,1.942298,6.000,6.000
112.788420,2.099389,6.000,6.000
113.261782,2.262417,6.000,6.000
113.733066,2.431357,6.000,6.000
114.202198,2.606183,6.000,6.000
114.669106,2.786866,6.000,6.000
115.133716,2.973379,6.000,6.000
115.595955,3.165693,6.000,6.000
116.055751,3.363777,6.000,6.000
116.513031,3.567600,6.000,6.000
116.967725,3.777130,6.000,6.000
117.419761,3.992335,6.000,6.000
117.869067,4.213181,6.000,6.000
118.315575,4.439633,6.000,6.000
118.759213,4.671655,6.000,6.000
119.199912,4.909213,6.000,6.000
119.637604,5.152267,6.000,6.000
120.072219,5.400780,6.000,6.000
120.503690,5.654714,6.000,6.000
120.931949,5.914028,6.000,6.000
121.356929,6.178681,6.000,6.000
121.778563,6.448633,6.000,6.000
122.196785,6.723841,6.000,6.000
122.611530,7.004262,6.000,6.000
123.022733,7.289852,6.000,6.000
123.430329,7.580566,6.000,6.000
123.834255,7.876359,6.000,6.000
124.234447,8.177185,6.000,6.000
124.630842,8.482995,6.000,6.000
125.023379,8.793743,6.000,6.000
125.411996,9.109379,6.000,6.000
125.796632,9.429855,6.000,6.000
126.177227,9.755119,6.000,6.000
126.553720,10.085122,6.000,6.000
126.926055,10.419811,6.000,6.000
127.294170,10.759134,6.000,6.000
127.658011,11.103037,6.000,6.000
128.017518,11.451468,6.000,6.000
128.372636,11.804371,6.000,6.000
128.723310,12.161691,6.000,6.000
129.069484,12.523371,6.000,6.000
129.411104,12.889357,6.000,6.000
129.748116,13.259589,6.000,6.000
130.080468,13.634010,6.000,6.000
130.408108,14.012562,6.000,6.000
130.730985,14.395185,6.000,6.000
131.049047,14.781819,6.000,6.000
131.362245,15.172403,6.000,6.000
131.670530,15.566877,6.000,6.000
131.973854,15.965178,6.000,6.000
132.272169,16.367245,6.000,6.000
132.565428,16.773014,6.000,6.000
132.853586,17.182422,6.000,6.000
133.136597,17.595404,6.000,6.000
133.414417,18.011895,6.000,6.000
133.687002,18.431832,6.000,6.000
133.954310,18.855147,6.000,6.000
134.216299,19.281775,6.000,6.000
134.472928,19.711648,6.000,6.000
134.724156,20.144699,6.000,6.000
134.969945,20.580862,6.000,6.000
135.210256,21.020066,6.000,6.000
135.445050,21.462243,6.000,6.000
135.674292,21.907325,6.000,6.000
135.897945,22.355240,6.000,6.000
136.115975,22.805920,6.000,6.000
136.328347,23.259294,6.000,6.000
136.535027,23.715290,6.000,6.000
136.735985,24.173837,6.000,6.000
136.931187,24.634864,6.000,6.000
137.120604,25.098297,6.000,6.000
137.304206,25.564065,6.000,6.000
137.481964,26.032094,6.000,6.000
137.653850,26.502312,6.000,6.000
137.819837,26.974644,6.000,6.000
137.979900,27.449017,6.000,6.000
138.134013,27.925355,6.000,6.000
138.282152,28.403585,6.000,6.000
138.424294,28.883632,6.000,6.000
138.560417,29.365421,6.000,6.000
138.690498,29.848875,6.000,6.000
138.814519,30.333920,6.000,6.000
138.932459,30.820478,6.000,6.000
139.044300,31.308475,6.000,6.000
139.150025,31.797834,6.000,6.000
139.249617,32.288477,6.000,6.000
139.343060,32.780328,6.000,6.000
139.430339,33.273311,6.000,6.000
139.511442,33.767347,6.000,6.000
139.586355,34.262360,6.000,6.000
