# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,5.500,5.500
0.333890,0.314678,5.500,5.500
0.667780,0.629321,5.500,5.500
1.001669,0.943895,5.500,5.500
1.335559,1.258366,5.500,5.500
1.669449,1.572697,5.500,5.500
2.003339,1.886856,5.500,5.500
2.337229,2.200807,5.500,5.500
2.671119,2.514516,5.500,5.500
3.005008,2.827949,5.500,5.500
3.338898,3.141070,5.500,5.500
3.672788,3.453845,5.500,5.500
4.006678,3.766241,5.500,5.500
4.340568,4.078222,5.500,5.500
4.674457,4.389755,5.500,5.500
5.008347,4.700804,5.500,5.500
5.342237,5.011336,5.500,5.500
5.676127,5.321317,5.500,5.500
6.010017,5.630712,5.500,5.500
6.343907,5.939488,5.500,5.500
6.677796,6.247611,5.500,5.500
7.011686,6.555045,5.500,5.500
7.345576,6.861759,5.500,5.500
7.679466,7.167718,5.500,5.500
8.013356,7.472888,5.500,5.500
8.347245,7.777236,5.500,5.500
8.681135,8.080728,5.500,5.500
9.015025,8.383331,5.500,5.500
9.348915,8.685011,5.500,5.500
9.682805,8.985736,5.500,5.500
10.016694,9.285473,5.500,5.500
10.350584,9.584187,5.500,5.500
10.684474,9.881847,5.500,5.500
11.018364,10.178420,5.500,5.500
11.352254,10.473873,5.500,5.500
11.686144,10.768174,5.500,5.500
12.020033,11.061290,5.500,5.500
12.353923,11.353188,5.500,5.500
12.687813,11.643838,5.500,5.500
13.021703,11.933206,5.500,5.500
13.355593,12.221262,5.500,5.500
13.689482,12.507972,5.500,5.500
14.023372,12.793307,5.500,5.500
14.357262,13.077234,5.500,5.500
14.691152,13.359722,5.500,5.500
15.025042,13.640740,5.500,5.500
15.358932,13.920257,5.500,5.500
15.692821,14.198242,5.500,5.500
16.026711,14.474666,5.500,5.500
16.360601,14.749497,5.500,5.500
16.694491,15.022705,5.500,5.500
17.028381,15.294260,5.500,5.500
17.362270,15.564132,5.500,5.500
17.696160,15.832292,5.500,5.500
18.030050,16.098709,5.500,5.500
18.363940,16.363356,5.500,5.500
18.697830,16.626202,5.500,5.500
19.031720,16.887218,5.500,5.500
19.365609,17.146377,5.500,5.500
19.699499,17.403649,5.500,5.500
20.033389,17.659006,5.500,5.500
20.367279,17.912420,5.500,5.500
20.701169,18.163864,5.500,5.500
21.035058,18.413309,5.500,5.500
21.368948,18.660727,5.500,5.500
21.702838,18.906093,5.500,5.500
22.036728,19.149378,5.500,5.500
22.370618,19.390557,5.500,5.500
22.704508,19.629602,5.500,5.500
23.038397,19.866487,5.500,5.500
23.372287,20.101186,5.500,5.500
23.706177,20.333674,5.500,5.500
24.040067,20.563924,5.500,5.500
24.373957,20.791912,5.500,5.500
24.707846,21.017612,5.500,5.500
