# x_m,y_m
-2.000000,0.000000
-1.666110,0.267476
-1.332220,0.534923
-0.998331,0.802311
-0.664441,1.069611
-0.330551,1.336793
0.003339,1.603828
0.337229,1.870686
0.671119,2.137339
1.005008,2.403756
1.338898,2.669909
1.672788,2.935769
2.006678,3.201305
2.340568,3.466489
2.674457,3.731291
3.008347,3.995683
3.342237,4.259636
3.676127,4.523120
4.010017,4.786106
4.343907,5.048565
4.677796,5.310469
5.011686,5.571789
5.345576,5.832495
5.679466,6.092560
6.013356,6.351955
6.347245,6.610650
6.681135,6.868619
7.015025,7.125831
7.348915,7.382260
7.682805,7.637876
8.016694,7.892652
8.350584,8.146559
8.684474,8.399570
9.018364,8.651657
9.352254,8.902792
9.686144,9.152948
10.020033,9.402096
10.353923,9.650210
10.687813,9.897262
11.021703,10.143225
11.355593,10.388072
11.689482,10.631776
12.023372,10.874311
12.357262,11.115649
12.691152,11.355763
13.025042,11.594629
13.358932,11.832218
13.692821,12.068506
14.026711,12.303466
14.360601,12.537072
14.694491,12.769299
15.028381,13.000121
15.362270,13.229512
15.696160,13.457448
16.030050,13.683903
16.363940,13.908852
16.697830,14.132272
17.031720,14.354136
17.365609,14.574421
17.699499,14.793102
18.033389,15.010155
18.367279,15.225557
18.701169,15.439284
19.035058,15.651312
19.368948,15.861618
19.702838,16.070179
20.036728,16.276972
20.370618,16.481973
20.704508,16.685162
21.038397,16.886514
21.372287,17.086008
21.706177,17.283623
22.040067,17.479336
22.373957,17.673125
22.707846,17.864970
23.041736,18.054850
23.375626,18.242743
23.709516,18.428628
24.043406,18.612486
24.377295,18.794296
24.711185,18.974038
25.045075,19.151693
25.378965,19.327240
25.712855,19.500661
26.046745,19.671936
26.380634,19.841047
26.714524,20.007975
27.048414,20.172701
27.382304,20.335208
27.716194,20.495477
28.050083,20.653491
28.383973,20.809233
28.717863,20.962685
29.051753,21.113831
29.385643,21.262653
29.719533,21.409136
30.053422,21.553264
30.387312,21.695020
30.721202,21.834388
31.055092,21.971355
31.388982,22.105904
31.722871,22.238021
32.056761,22.367691
32.390651,22.494900
32.724541,22.619634
33.058431,22.741879
33.392321,22.861622
33.726210,22.978849
34.060100,23.093549
34.393990,23.205707
34.727880,23.315312
35.061770,23.422351
35.395659,23.526814
35.729549,23.628688
36.063439,23.727962
36.397329,23.824625
36.731219,23.918667
37.065109,24.010078
37.398998,24.098846
37.732888,24.184963
38.066778,24.268419
38.400668,24.349205
38.734558,24.427311
39.068447,24.502730
39.402337,24.575453
39.736227,24.645473
40.070117,24.712780
40.404007,24.777368
40.737896,24.839230
41.071786,24.898359
41.405676,24.954749
41.739566,25.008393
42.073456,25.059285
42.407346,25.107420
42.741235,25.152792
43.075125,25.195397
43.409015,25.235230
43.742905,25.272286
44.076795,25.306562
44.410684,25.338053
44.744574,25.366756
45.078464,25.392668
45.412354,25.415787
45.746244,25.436109
46.080134,25.453632
46.414023,25.468354
46.747913,25.480275
47.081803,25.489392
47.415693,25.495704
47.749583,25.499211
52.083472,25.499912
52.417362,25.497808
52.751252,25.492898
53.085142,25.485184
53.419032,25.474665
53.752922,25.461343
54.086811,25.445220
54.420701,25.426297
54.754591,25.404577
55.088481,25.380061
55.422371,25.352753
55.756260,25.322656
56.090150,25.289772
56.424040,25.254105
56.757930,25.215660
57.091820,25.174441
57.425710,25.130452
57.759599,25.083697
58.093489,25.034183
58.427379,24.981914
58.761269,24.926897
59.095159,24.869137
59.429048,24.808640
59.762938,24.745414
60.096828,24.679466
60.430718,24.610801
60.764608,24.539429
61.098497,24.465357
